data_arc_in_days,observations_used,orbit_uncertainty,minimum_orbit_intersection,eccentricity,perihelion_distance,perihelion_time,absolute_magnitude,relative_velocity,hazardous,estimated_diameter
12032.0,397,0,0.0663602,0.4745418828337281,0.8950170902115333,2461278.7048606807,18.52,10.7171509363,False,0.85024212245
16370.0,1095,0,0.015601,0.3057196144091275,0.9272230805237376,2460752.9558021305,17.89,14.3850577349,True,1.13642980885
12641.0,693,0,0.102385,0.4016937463833632,1.025999646510828,2460679.112044469,18.77,7.0166551516,False,0.75777908925
14112.0,375,0,0.0157742,0.6642732186549486,0.957069615914134,2460495.558448303,18.81,7.1107542843,True,0.74394806215
15766.0,1660,0,0.294215,0.2554163619392046,1.280330839477616,2460773.512024533,17.41,9.4293968567,False,1.41756380865
10731.0,1949,0,0.247542,0.1180632392453789,1.1681281934605,2461188.0249989284,18.47,7.1220113985,False,0.87004680565
10363.0,986,0,0.240065,0.4678524830169128,1.229816515310093,2460762.104111104,18.78,3.7117652555,False,0.75429741065
11627.0,301,0,0.320902,0.2726845884250724,1.273702895088352,2460777.6477580946,17.91,13.1915083092,False,1.12601095775
11312.0,2771,0,0.132361,0.3586724529731915,0.7629801026674659,2461060.083427544,17.32,15.0897573632,False,1.4775514650000001
16923.0,582,0,0.193872,0.5119922232443467,1.192108696950371,2461558.554155621,17.78,4.9980975259,False,1.1954808312
9724.0,352,0,0.0494669,0.5609676912908281,0.8926861626570568,2460474.742887968,17.7,11.3977422644,True,1.2403453329
9044.0,676,0,0.100509,0.4920247275648747,1.092786327136427,2461289.2064358657,18.45,16.2280682405,False,0.8780972496
2448.0,51,1,0.0041858,0.4766205987722787,0.8188923583335695,2461250.4470083728,20.51,14.4362763022,True,0.3400498729
9205.0,635,0,0.0571127,0.4640785510273887,0.8338671544362949,2461225.86818819,17.73,10.0485050914,False,1.223327157
18416.0,2351,0,0.107584,0.1207067243431388,1.116242475087654,2460993.4971608985,17.45,9.2933761828,False,1.39169035325
11016.0,2341,0,0.168407,0.2763452298710945,0.7992428654574588,2461071.374155614,18.09,9.6119017035,False,1.0364363038
25537.0,1263,0,0.0336225,0.570013828204156,0.5240674096544183,2460866.306134413,17.68,17.747938231,True,1.251822107
11207.0,303,0,0.239815,0.5179404547427336,1.103663614925004,2460765.12820272,17.28,21.6800900483,False,1.5050211977
14140.0,746,0,0.101392,0.3609143564654329,1.118814803168027,2460623.238600478,18.39,12.6605808439,False,0.90269828395
11481.0,1192,0,0.100234,0.3057636799308876,0.92661317097762,2460778.9044438098,17.37,11.4062798444,False,1.44391828755
9588.0,1025,0,0.0132853,0.2801500981413037,0.9531785784123707,2460936.7118045506,19.26,5.2717680813,True,0.60470368735
26451.0,353,0,0.154711,0.4695014068436802,1.134558100177628,2461286.19789006,19.28,12.045313302,False,0.5991597306
8407.0,73,0,0.130889,0.5762998755619848,0.6804934022134144,2460848.60263358,18.2,14.0315372286,False,0.98524131875
18282.0,637,0,0.0351218,0.4718049273259508,0.8166272057025834,2461090.3926206287,18.17,24.5420310712,True,0.9989473908000001
9663.0,519,0,0.00232975,0.4334827791119671,0.9879541045248524,2460965.823926945,18.31,7.5877219159,True,0.9365751205
27458.0,1173,0,0.0397845,0.507504967131023,0.8365527174426679,2460907.682812376,17.28,15.699688434,True,1.5050211977
8765.0,68,0,0.124662,0.5478783020802365,0.7222886149667168,2461012.456633349,19.54,26.5003798622,False,0.5315481572
9571.0,1982,0,0.0104651,0.4176504710965522,0.4185357256988882,2461028.587265078,18.02,25.3893164003,True,1.07039141415
8861.0,294,0,0.151955,0.5457321185440801,1.13599028121215,2461004.003190828,19.39,11.4325078115,False,0.56956411215
1238.0,119,0,0.0728515,0.5963653267729068,0.8566661761076586,2461320.8184284684,19.57,11.1457678595,False,0.5242550430999999
9451.0,972,0,0.078155,0.3141567862496047,1.044870772058248,2461076.1786678256,19.29,7.4632840743,False,0.59640684175
10788.0,956,0,0.00120897,0.5200019578401266,0.9181522372302876,2460931.8711176887,19.28,9.6121381216,True,0.5991597306
11667.0,1085,0,0.385363,0.5662303704834717,0.6159699449832131,2461292.7434855658,17.35,21.2666972855,False,1.4572786989000002
27140.0,426,0,0.0917848,0.33423363078068,1.09314389207289,2461163.9545868263,18.46,6.1867265879,False,0.87406275925
8967.0,750,0,0.225116,0.4550479900528838,1.234203478045557,2461360.5978035447,17.71,2.7571939055,False,1.2346464637499999
9749.0,440,0,0.0111193,0.5556358800226497,0.7077705693375353,2461247.543378073,20.66,14.3123435591,True,0.31735300639999997
9686.0,215,0,0.235008,0.2114236745760018,1.242408018520986,2461111.9812472947,19.88,7.1375527973,False,0.4545091355
13641.0,562,0,0.136921,0.4296818167295477,1.093877746723685,2461293.5224491637,17.82,13.0304946636,False,1.17366084695
16619.0,682,0,0.0991171,0.5479168375792436,0.9997422799721928,2461071.1731885565,18.09,9.1231529515,False,1.0364363038
11843.0,447,0,0.168244,0.1440802769444012,1.094054532349504,2461070.787465017,20.06,3.6392019115,False,0.41835273915
11748.0,1741,0,0.0603557,0.1896829023249026,1.038868609437027,2461153.715539911,17.75,13.0838250676,False,1.21211162615
9826.0,328,0,0.210434,0.2925546597185024,1.104834072064155,2460989.953101374,19.13,6.7294637782,False,0.6420112183
9768.0,708,0,0.0169714,0.6236232997273412,0.9065071634230686,2460649.506167857,17.52,10.2062856354,True,1.3475429518
9773.0,457,0,0.191658,0.2242926468757198,1.205936772104306,2460873.117984648,17.96,10.0773276502,False,1.1003798191
7620.0,117,0,0.08707,0.6281186040636288,0.7812009863976938,2461450.9595012367,18.73,12.7691094848,False,0.7718672544
9482.0,168,0,0.0504842,0.6410991462736295,0.7256413140899642,2460829.2185384473,18.9,24.7876867469,False,0.7137442406500001
12130.0,438,0,0.0467805,0.4197261143456677,0.8676230257186099,2461143.810906072,19.06,16.0942781433,True,0.66304440835
25266.0,1197,0,0.0477603,0.2692364356466049,1.001552838681951,2460800.925901098,17.35,24.4526990764,True,1.4572786989000002
